id,TYPE_ECO,SUPERFICIE
0,FE20,6.4
0,FE21,37.8
0,FE22,40.5
0,FO14,2.7
0,FO18,11.2
0,MA18R,5.6
0,MJ10,3.1
0,MJ11,78.1
0,MJ12,9.5
0,MJ13,6.5
0,MJ14,7.9
0,MJ24,16.5
0,RB11,202.79999999999998
0,RB13,3.9
1,FE23,62.199999999999996
1,FO18,7.4
1,MJ11,5.1
1,MJ13,58.0
1,MJ26,2.5
1,RB11,4.3
1,RB13,57.3
1,RB14,1.6
1,RB16,4.2
2,FE21,77.2
2,FE23,8.3
2,FE26,3.5
2,FO14,7.699999999999999
2,MF14,6.0
2,MJ11,62.5
2,MJ13,55.7
2,RB11,71.6
2,RB13,9.1
3,FE21,3.3
3,MJ11,87.5
3,MJ13,156.2
3,MJ26,2.6
3,RB13,26.7
4,FE21,6.2
4,FE23,3.4
4,MA18R,7.5
4,MJ11,151.2
4,MJ13,4.6
4,MJ21,3.9
4,RB11,48.5
4,RP11,53.400000000000006
4,RS54,30.2
5,FE21,44.1
5,MA18R,2.2
5,MJ11,83.5
5,MJ14,9.6
5,MJ21,2.5
5,RB11,33.5
5,RP11,113.8
5,RS38,1.9
5,RS51,9.2
6,MJ21,159.8
6,MJ24,10.9
6,RE21,38.5
6,RP11,55.2
6,RS51,8.3
7,FE21,113.8
7,MJ11,180.9
7,MJ14,6.8
8,FE21,88.8
8,FO16,52.4
8,FO18,11.7
8,MJ11,124.3
8,MJ14,17.2
9,FE21,78.9
9,FO16,52.4
9,FO18,7.2
9,MJ11,81.1
9,MJ14,10.4
10,FE21,38.3
10,FE24,4.0
10,MJ11,178.9
10,MJ14,36.3
10,MJ21,5.2
10,MJ24,39.2
10,MJ28,2.3
10,RP11,80.5
10,RS14,20.6
10,RT11,8.0
11,FE21,168.1
11,FE24,10.8
11,MJ11,151.0
11,MJ14,113.9
11,MJ24,6.6
11,RS38,20.8
12,FE21,196.1
12,FE24,10.8
12,MJ11,127.8
12,MJ14,110.3
12,MJ24,6.6
12,RS38,15.9
13,FE21,23.6
13,FE23,18.5
13,MA18R,5.2
13,MF18,3.3
13,MJ11,104.0
13,MJ13,17.0
13,MJ14,4.0
13,MJ21,17.0
13,MJ24,15.3
13,RB11,3.5999999999999996
13,RS54,40.2
13,RT11,4.8
13,RT13,0.9
14,FE21,8.6
14,FE23,22.7
14,MF14,10.9
14,MJ11,29.099999999999998
14,MJ13,41.7
14,MJ21,55.300000000000004
14,RB11,51.9
14,RB13,6.1
