IdRte,Version,NomRte,NoRte,ClsRte,CaractRte,Cls_CheFor,Cls_RAT,An_Classi,No_Chefor,CarRte,Che_Multi,Gestion,Source,Notes,NbrVoies,EtatRev,Dossi_Pont,Cap_Port,Stat_Pont,AQRP_UUID,Shape_Leng,group,index_righ,shape_le_1,Camera,geometry,length
dfdc0cbed7f64dc7b61cd84290b6997c,AQ20230601,Rang Saint-Nicolas,0.0,Locale,,NF,,,,OUI,NON,Municipal,AQ,"Avertissement : Le diffuseur ne peut garantir l?exactitude, la prï¿½cision ou l?intï¿½gralitï¿½ des donnï¿½es ni ne peut ï¿½tre tenu responsable des conclusions qui dï¿½coulent de leur utilisation. Ces donnï¿½es n?ont aucune",2,Revï¿½tue,,,,1dd42d8b-6ca4-47b3-bba2-bc57a8542982,877.607468044,1,19,3140.331156954365,19,"LINESTRING (673111.5444 5132299.8869, 673103.1092999997 5132306.361500001, 673089.3663999997 5132317.506999999, 673084.0582999997 5132322.1775, 673080.8684 5132324.980599999, 673018.9474999998 5132384.142999999, 672963.4407281305 5132435.610086003)",200.98156381565587
e75b9449add44aa9ad13d752b169d13a,AQ20230601,Rang Saint-Nicolas,0.0,Locale,,NF,,,,OUI,NON,Municipal,AQ,"Avertissement : Le diffuseur ne peut garantir l?exactitude, la prï¿½cision ou l?intï¿½gralitï¿½ des donnï¿½es ni ne peut ï¿½tre tenu responsable des conclusions qui dï¿½coulent de leur utilisation. Ces donnï¿½es n?ont aucune",2,Revï¿½tue,,,,5e6e6a24-b0ea-47cc-945a-7d09d4b46819,2874.14619398,1,19,3140.331156954365,19,"LINESTRING (674951.6162347064 5130159.944133428, 674912.1761999996 5130227.6193, 674841.4797999999 5130345.352600001, 674788.9993000003 5130429.1765, 674771.1118999999 5130458.092599999, 674728.4456000002 5130529.521500001, 674701.4815999996 5130574.8905, 674663.4079917624 5130641.231282664)",561.0245422414275
e75b9449add44aa9ad13d752b169d13a,AQ20230601,Rang Saint-Nicolas,0.0,Locale,,NF,,,,OUI,NON,Municipal,AQ,"Avertissement : Le diffuseur ne peut garantir l?exactitude, la prï¿½cision ou l?intï¿½gralitï¿½ des donnï¿½es ni ne peut ï¿½tre tenu responsable des conclusions qui dï¿½coulent de leur utilisation. Ces donnï¿½es n?ont aucune",2,Revï¿½tue,,,,5e6e6a24-b0ea-47cc-945a-7d09d4b46819,2874.14619398,1,19,3140.331156954365,19,"LINESTRING (673523.9398594932 5131928.944904583, 673511.6153999995 5131937.711100001, 673492.6902999999 5131951.529200001, 673404.3657999998 5132016.016799999, 673400.1146999998 5132019.7509, 673393.7454000004 5132025.3528, 673369.9937000005 5132051.8947, 673361.4285000004 5132060.3619, 673356.0577999996 5132066.0316, 673349.4901 5132074.6293, 673343.9264000002 5132083.2903, 673341.6097999997 5132088.153999999, 673336.9767000005 5132097.8813000005, 673322.9478000002 5132129.050899999, 673320.6312999995 5132133.9146, 673318.3779999996 5132137.7743999995, 673315.1303000003 5132141.5767, 673309.6239999998 5132149.2434, 673304.1858000001 5132155.9065000005, 673288.0345000001 5132174.7853, 673274.3402000004 5132186.8039, 673261.3130999999 5132198.9463, 673250.5568000004 5132209.4256, 673239.3183000004 5132219.334799999, 673228.3124000002 5132226.6028, 673216.0455 5132236.1554000005, 673187.6069999998 5132254.660800001, 673181.3629000001 5132258.2697, 673151.1995000001 5132275.3727, 673111.5444 5132299.8869)",563.930271025337
fa0e3351a32e4091a46f1e93290c7e07,AQ20230601,Rang Jean-Sauvaget,0.0,Locale,,NF,,,,OUI,NON,Municipal,AQ,"Avertissement : Le diffuseur ne peut garantir l?exactitude, la prï¿½cision ou l?intï¿½gralitï¿½ des donnï¿½es ni ne peut ï¿½tre tenu responsable des conclusions qui dï¿½coulent de leur utilisation. Ces donnï¿½es n?ont aucune",2,Revï¿½tue,,,,2c7d0461-cf01-4db6-a900-12fd100fe7b4,1868.13986611,1,19,3140.331156954365,19,"LINESTRING (673025.3147360313 5131439.842642015, 673024.6780000003 5131451.4628, 673021.2823000001 5131504.360300001, 673020.0647 5131523.3279, 673017.4287 5131579.4614, 673001.7401 5131735.550799999, 672979.4265999999 5131875.498199999, 672978.852 5131884.4778, 672979.2761000004 5131893.5252, 672979.7578999996 5131901.5732, 672982.0488 5131912.7488, 672982.5983999996 5131919.7983, 672985.8208999997 5131932.030200001, 672989.3041000003 5131940.2721, 672990.7220999999 5131949.381899999, 672991.4018999999 5131954.438999999, 672993.1385000004 5131958.559599999, 672993.8187999995 5131963.6116, 672995.4298 5131969.7301, 672996.2981000002 5131971.7904, 672997.0411999999 5131975.8434999995, 673007.2878999999 5132003.559900001, 673032.6821999997 5132076.3496, 673036.8408000004 5132089.643200001, 673052.9249 5132135.7732, 673111.5444 5132299.8869)",884.8984326221473
6448e7915c634e02a10c8c4eeb14a238,AQ20230601,Boulevard Saint-Jean,0.0,Collectrice municipale,,NF,,,,OUI,NON,Municipal,AQ,"Avertissement : Le diffuseur ne peut garantir l?exactitude, la prï¿½cision ou l?intï¿½gralitï¿½ des donnï¿½es ni ne peut ï¿½tre tenu responsable des conclusions qui dï¿½coulent de leur utilisation. Ces donnï¿½es n?ont aucune",2,Revï¿½tue,,,,21592cf4-5e1e-439c-be20-cd221e5bd185,3764.39013884,1,14,3140.331156954365,14,"LINESTRING (679567.9354604018 5137841.397125963, 679334.0220999997 5138065.6281)",324.0293040641176
e68a892ee2a640049515fd79499554fe,AQ20230601,Voie,55.0,Autoroute,Bretelle,NF,,,,OUI,NON,Transports Quï¿½bec,AQ,"Avertissement : Le diffuseur ne peut garantir l?exactitude, la prï¿½cision ou l?intï¿½gralitï¿½ des donnï¿½es ni ne peut ï¿½tre tenu responsable des conclusions qui dï¿½coulent de leur utilisation. Ces donnï¿½es n?ont aucune",1,Revï¿½tue,,,,fd96bea5-001c-47d1-b5b3-2e9612a6fd66,439.045593499,1,14,3140.331156954365,14,"LINESTRING (679108.6260000002 5138398.6108, 679110.2714 5138391.5526, 679136.2395000001 5138366.2601, 679147.8651999999 5138354.2377, 679157.1672 5138344.9344, 679166.5012999997 5138335.2673, 679189.9970000004 5138311.1285999995, 679203.0636999998 5138297.2841, 679218.9760999996 5138279.812100001, 679233.5668000001 5138264.4037999995, 679246.7372000003 5138250.6939, 679262.6689999998 5138234.7707, 679278.3337000003 5138219.316299999, 679293.8728999998 5138204.0868, 679314.9767000005 5138183.841600001, 679329.3517000005 5138169.9714, 679337.3595000003 5138162.247099999, 679341.9417000003 5138157.893300001, 679347.4227 5138152.398, 679351.5263 5138148.002, 679354.5181 5138144.025699999, 679356.9316999996 5138139.9986000005, 679358.7248999998 5138136.057499999, 679360.0480000004 5138132.3213, 679360.5 5138128.895099999, 679360.6961000003 5138125.8083, 679360.8198999995 5138122.001599999, 679360.2832000004 5138117.423699999, 679359.0044999998 5138113.1723, 679357.4759 5138109.1351, 679355.5341999996 5138106.025800001, 679353.1127000004 5138102.7741, 679349.5399000002 5138098.9639, 679344.9458999997 5138094.3707, 679337.6220000004 5138087.578600001, 679324.4272999996 5138075.6339)",439.045593498988
6fc46444cf464d9ab7deb2fda31ae7b1,AQ20230601,Boulevard Saint-Jean,0.0,Collectrice municipale,,NF,,,,OUI,NON,Municipal,AQ,"Avertissement : Le diffuseur ne peut garantir l?exactitude, la prï¿½cision ou l?intï¿½gralitï¿½ des donnï¿½es ni ne peut ï¿½tre tenu responsable des conclusions qui dï¿½coulent de leur utilisation. Ces donnï¿½es n?ont aucune",2,Revï¿½tue,,,,8e70f272-a02b-46a8-911c-d3d5037f237b,56.4161565377,1,14,3140.331156954365,14,"LINESTRING (678986.1446000002 5138382.565199999, 678973.9113999996 5138385.789000001, 678960.7418 5138387.950999999, 678947.6398999998 5138389.114399999, 678930.4795000004 5138391.0208)",56.416156537702705
0a2e5e60bcca46d99fb4fba26a0711b5,AQ20230601,Boulevard Saint-Jean,0.0,Collectrice municipale,,NF,,,,OUI,NON,Municipal,AQ,"Avertissement : Le diffuseur ne peut garantir l?exactitude, la prï¿½cision ou l?intï¿½gralitï¿½ des donnï¿½es ni ne peut ï¿½tre tenu responsable des conclusions qui dï¿½coulent de leur utilisation. Ces donnï¿½es n?ont aucune",2,Revï¿½tue,,,,3715297c-42c6-49d3-9244-bf17426390a4,263.150635925,1,14,3140.331156954365,14,"LINESTRING (678930.4795000004 5138391.0208, 678867.9516000003 5138397.0342999995, 678851.7901999997 5138399.0035999995, 678811.2489 5138404.835999999, 678783.8731000004 5138411.921800001, 678768.923759657 5138416.00985812)",163.83221253292817
caee64635c4f46009330ab70452821fa,AQ20230601,Rue des Arbrisseaux,0.0,Locale,,NF,,,,OUI,NON,Municipal,AQ,"Avertissement : Le diffuseur ne peut garantir l?exactitude, la prï¿½cision ou l?intï¿½gralitï¿½ des donnï¿½es ni ne peut ï¿½tre tenu responsable des conclusions qui dï¿½coulent de leur utilisation. Ces donnï¿½es n?ont aucune",2,Revï¿½tue,,,,f4558e2e-c7c8-4431-8441-15754500140b,55.4561233357,1,14,3140.331156954365,14,"LINESTRING (678930.4795000004 5138391.0208, 678931.7050999999 5138403.1285, 678933.2858999996 5138419.250700001, 678933.7056999998 5138428.298900001, 678931.9468 5138446.242000001)",55.45612333567516
a49442b4551444a6832c9915253a494a,AQ20230601,Boulevard Saint-Jean,0.0,Collectrice municipale,,NF,,,,OUI,NON,Municipal,AQ,"Avertissement : Le diffuseur ne peut garantir l?exactitude, la prï¿½cision ou l?intï¿½gralitï¿½ des donnï¿½es ni ne peut ï¿½tre tenu responsable des conclusions qui dï¿½coulent de leur utilisation. Ces donnï¿½es n?ont aucune",2,Revï¿½tue,,,,b834da91-9967-4ae4-86db-2a9364d94a28,13.8627638179,1,14,3140.331156954365,14,"LINESTRING (679334.0220999997 5138065.6281, 679324.4272999996 5138075.6339)",13.862763817894352
