id,CL_PENT,SUPERFICIE
0,A,5893.099999999999
0,B,1776.0
0,C,136.6
0,D,31.0
1,A,11419.1
1,B,2332.6
1,C,136.8
1,D,184.0
1,F,27.4
2,A,11461.900000000001
2,B,2106.6
2,C,172.2
2,D,157.4
2,F,39.4
3,A,31396.800000000003
3,B,691.3
3,C,98.2
3,D,150.8
3,F,16.3
4,A,53720.9
4,B,48.0
4,C,1.7
5,A,8640.9
5,B,117.9
5,C,1.7
5,F,2.6
6,A,28359.5
6,B,208.3
6,C,1.2
6,D,1.5
6,F,10.4
7,A,45423.4
7,B,119.9
7,C,3.1
8,A,25118.2
8,B,53.2
8,C,3.0
9,A,25118.2
9,B,53.2
9,C,3.0
10,A,45423.4
10,B,145.8
10,C,3.9000000000000004
11,A,25151.100000000002
11,B,574.4
11,C,10.7
12,A,25164.0
12,B,570.4
12,C,20.3
13,A,53720.9
13,B,48.6
14,A,11441.3
14,B,1885.3
14,C,153.3
14,D,157.20000000000002
14,F,12.4
