id,Type sol,Superficie_m2
0,Agricole,9073871.845669331
0,Anthropique,1439019.198372228
0,Forestier,58680881.629637085
0,Humide,190490.5059208391
1,Agricole,64137309.8346809
1,Anthropique,41604.341310919
1,Aquatique,28255.602584783697
1,Coupe et régénérat,17772.6187669
1,Forestier,11436420.847432429
1,Humide,77515.30301872699
1,Non classifié,1991.52774635
2,Agricole,6794962.646371895
2,Anthropique,182582.8300055566
2,Aquatique,10958.6134197922
2,Coupe et régénérat,9122.178865670001
2,Forestier,18197545.753409967
2,Humide,77797.69455354
2,Non classifié,319.761026206
3,Agricole,85603117.59896389
3,Anthropique,120140.3250859583
3,Aquatique,1315.91401606
3,Coupe et régénérat,6580.8139340299995
3,Forestier,40345226.18384817
3,Humide,6855.2914325798
4,Agricole,4156635.8723680037
4,Anthropique,343395.2998654355
4,Aquatique,15940.750227548
4,Coupe et régénérat,206317.693160969
4,Forestier,31315393.17397232
4,Humide,2875563.0739160054
4,Non classifié,1077.64828831
5,Agricole,8693737.90306157
5,Anthropique,300971.65426135797
5,Aquatique,9063.3313501211
5,Coupe et régénérat,64622.1320065
5,Forestier,2802456.903315256
5,Humide,232777.50412082198
6,Agricole,533912.3669005672
6,Anthropique,65978959.3725258
6,Coupe et régénérat,52473.67666766
6,Forestier,8275123.916946836
7,Agricole,27304707.643721484
7,Anthropique,64244418.034906834
7,Aquatique,59930.238575908
7,Coupe et régénérat,62798.1808530872
7,Forestier,6071232.605039932
7,Humide,411955.11747318483
8,Agricole,2994842.6347745922
8,Anthropique,64186879.69062203
8,Aquatique,23715034.869795002
8,Coupe et régénérat,7914.737828965
8,Forestier,5295428.355296851
8,Humide,1502247.7086195638
9,Agricole,2850974.6798405442
9,Anthropique,64113167.97758729
9,Aquatique,23682417.91034126
9,Forestier,5271018.601612011
9,Humide,1498397.1785002078
10,Agricole,27499706.627835907
10,Anthropique,220377.5353683868
10,Aquatique,3088.281413282
10,Coupe et régénérat,66925.83925369999
10,Forestier,33691693.98100615
10,Humide,773078.4537420861
11,Agricole,36546.080796479
11,Anthropique,64064341.907414645
11,Aquatique,15692.5319130982
11,Coupe et régénérat,400549.33750133
11,Forestier,9138044.592885965
11,Humide,943016.6438321301
12,Agricole,36546.080796479
12,Anthropique,64064617.948963426
12,Aquatique,15692.5319130982
12,Coupe et régénérat,400643.8391425985
12,Forestier,9141571.8505774
12,Humide,942915.4245885301
13,Agricole,7674539.544280245
13,Anthropique,48080.9922907904
13,Aquatique,12945.050402502999
13,Coupe et régénérat,183243.374381811
13,Forestier,28908969.964930017
13,Humide,2891564.36329319
14,Agricole,8373203.301259103
14,Anthropique,64281826.94975782
14,Aquatique,124545.78190297999
14,Coupe et régénérat,17588.76319235
14,Forestier,65650497.55754326
14,Humide,162760.2304820222
